Barcode,Product Code,Product Name,Size,Price,QTY
750100990011,TS-001,Classic Crewneck T-Shirt,M,18.50,2
750100990012,TS-002,Classic Crewneck T-Shirt,L,18.50,2
750100990013,TS-003,Classic Crewneck T-Shirt,XL,18.50,2
750100990021,JN-101,Slim Fit Denim Jeans,32,45.00,1
750100990022,JN-102,Slim Fit Denim Jeans,34,45.00,1
750100990031,HD-201,Cotton Pullover Hoodie,L,38.00,2
750100990041,SH-301,Casual Chino Shorts,32,24.99,2
750100990051,BT-401,Leather Dress Belt,OneSize,16.50,1
750100990061,FT-501,Running Athletic Shoes,42,65.00,1
750100990062,FT-502,Running Athletic Shoes,43,65.00,1
